op,Peças,Quantidade,Tamanho da peça,Peso,Tempo,Espessura,Aproveitamento,Tamanho da chapa,qt. chapa,data abertura de op,maquina,op_espelho,opp,DATA,PADRÃO?,operador_final_matricula
1619 JFY,032553 [LASER] - TRANSVERSINA TRASEIRA _ PLATAFORMA _ CBHM 3500-5000-6000-8000-10000,3,1690.00 * 415.71,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1619 JFY,028036 - CHAPA FIXAÇÃO SUPORTE DE SAÍDA,4,50.00 * 200.00,,,"3,04 mm ","0,8346","1500,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
20145,"450870 - LONGARINA _ CHASSI DA CAÇAMBA-PLATAFORMA 1 EIXO _ CBH-CBHM 6,0T",20,"3695,99 × 254,80 mm","44,1 kg",0:02:44,"MS 6,00 mm ","93,47%","3710,00 × 1200,00 mm","5,00",21/03/2025,Plasma,,opp,,,PCP
20145,031226 - CANTONEIRA TAMPA TRASEIRA,10,"1520,00 × 117,40 mm","8,4 kg",0:01:00,"MS 6,00 mm ","93,47%","3710,00 × 1200,00 mm","5,00",21/03/2025,Plasma,,opp,,,PCP
20145,018338 - ENGATE S TRAVA - GRADES CBHM,40,"150,00 × 44,00 mm","0,3 kg",0:00:16,"MS 6,00 mm ","93,47%","3710,00 × 1200,00 mm","5,00",21/03/2025,Plasma,,opp,,,PCP
1620 JFY,029794 - PARTE SUPERIOR PROTEÇÃO CORRENTE,4,557.42 * 871.00,,,"2,25 mm ","0,8418","1200,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1620 JFY,029795 - PARTE INFERIOR PROTEÇÃO CORRENTE,4,305.00 * 552.50,,,"2,25 mm ","0,8418","1200,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1620 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,67,148.54 * 73.00,,,"2,25 mm ","0,8418","1200,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
1620 JFY,027828 - CHAPA INFERIOR,3,288.00 * 565.00,,,"2,25 mm ","0,8418","1200,00 × 2800,00 mm","1,00",21/03/2025,Laser JYF,,opp,,,PCP
106894,460394 - CHAPEAMENTO [GRADE DIANTEIRA - CBHM5000],100,,,,2 mm,"0,9514","1205,00 × 3500,00 mm","25,00",22/03/2025,Laser JYF,494 JFY,,,,PCP
106895,034251 - CHAPEAMENTO [TAMPA TRASEIRA - CBHM 5000-6000],12,,,,2 mm,"0,9553","1200,00 × 3500,00 mm","6,00",22/03/2025,Laser JYF,492 JFY,,,,PCP
106896,460680 - TRANSVERSINA CENTRAL [PLATAFORMA - CBHM5000],52,,,,"3,75 mm","0,9221","1200,00 × 4000,00 mm","4,00",22/03/2025,Laser JYF,657 JFY,,,,PCP
106896,460679,20,,,,"3,75 mm","0,9221","1200,00 × 4000,00 mm","4,00",22/03/2025,Laser JYF,657 JFY,,,,PCP
106896,031060 - FECHAMENTO LATERAL ALT 45 [GRADE LATERAL - F],44,,,,"3,75 mm","0,9221","1200,00 × 4000,00 mm","4,00",22/03/2025,Laser JYF,657 JFY,,,,PCP
106896,031017 - FECHAMENTO LATERAL ALT 45 [GRADE TRASEIRA - F],4,,,,"3,75 mm","0,9221","1200,00 × 4000,00 mm","4,00",22/03/2025,Laser JYF,657 JFY,,,,PCP
106896,465422.FECH. TRAS. LONG. PLASMAdwg,4,,,,"3,75 mm","0,9221","1200,00 × 4000,00 mm","4,00",22/03/2025,Laser JYF,657 JFY,,,,PCP
106897,030334 - LONGARINA [PLATAFORMA - CBH],40,,,,"3,75 mm","0,947","1200,00 × 3010,00 mm","10,00",22/03/2025,Laser JYF,655 JFY,,,,PCP
106898,030317 - LONGARINA,24,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,032045  - CANTONEIRA INFERIOR [TAMPA TRASEIRA - CBHM5000],8,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000",8,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,025546 - FECHAMENTO DO EIXO [EIXO - F4],24,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,031217 - FECHAM. SUPERIOR COMPL. DIANT. M18,0,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,030368 - FECHAM DA TRANSVERSINA,24,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,030375 - FIXADOR [TAMPA LATERAL - CBH],8,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,446841 - REFORÇO LONG-CHASSI [CHASSI - F4],24,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106898,492073 diafragma feixe de mola,200,,,,5 mm,"0,9462","1210,00 × 2820,00 mm","8,00",22/03/2025,Laser JYF,391 JFY,,,,PCP
106899,031485 - LONGARINA _ CHASSI _ CBHM 6000 CAFEEIRA,18,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
106899,030368 - FECHAM DA TRANSVERSINA,84,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
106899,031557 - TRANSV. DIANTEIRA CBHM,18,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
106899,030539 - TRANSVERSINA CENTRAL,18,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
106899,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000",18,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
106899,030388 - COMPLEMENTO BASE MÓVEL,264,,,,"4,75 mm","0,9147","1200,00 × 4040,00 mm","6,00",22/03/2025,Laser JYF,310 JFY,,,,PCP
1621 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,288,148.54 * 73.00,,,2 mm ,"0,9101","1200,00 × 2800,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
106900,409820 - PLASMA,6,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,429764-plasma,8,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,450819,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,900069 - GABARITO FUEIRO CBHM6000,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,031024 - COLUNA _ FECHAMENTO DIANTEIRO (,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,034383 - FECHAMENTO LATERAL [GRADE LATER,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,034105 - REFORÇO ABA [GRADE LATERAL SUPE,6,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,034413 - ESBARRO DO FECHO RAPIDO [GRADE,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,026453-PLASMA,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,025561 - COLUNA - FECHAMENTO DIANT (FR),0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,031050 - COLUNA _ FECHAMENTO DIANTEIRO (,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,469361 - PLASMA,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,465422.FECH. TRAS. LONG. PLASMAdwg,10,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,030451 - FECHAMENTO LATERAL _ TAMPA LATE,254,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106900,425953 FECHAMENTO LAT GRADE 45CM CBHM,0,,,,5/32 ,"0,9.08304e+19","4000,00 x 1200,00 mm","2,00",22/03/2025,Laser,2787,,,,PCP
106901,030591LA - FECHAMENTO TRASEIRO CENTRAL,18,,,,"4,75 mm","0,9522","1200,00 × 2820,00 mm","3,00",22/03/2025,Laser JYF,508 JFY,,,,PCP
20146,030645- REFORÇO TRANSV. TRAS. DIANT.,30,"190,00 × 647,00 mm","4,3 kg",0:00:40,"MS 4,75 mm ","89,05%","4040,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20146,444893-PLASMA,7,"90,00 × 750,00 mm","2,5 kg",0:01:15,"MS 4,75 mm ","89,05%","4040,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20146,441480-SUPORTE ENGATE IÇAMENTO,10,"158,00 × 122,00 mm","0,6 kg",0:00:33,"MS 4,75 mm ","89,05%","4040,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20146,494616 - FECHAMENTO SUPERIOR [FUEIRO - CBHM],66,"40,00 × 95,00 mm","0,1 kg",0:00:15,"MS 4,75 mm ","89,05%","4040,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
106902,032353 - COMPL. SUPORTE FRONTAL _ CHASSI,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,032352A - SUPORTE FRONTAL FURADO _ CHASS,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,033889 - REFORÇO INTERIOR DO CABEÇÃO,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,030316 - REFORÇO DO SUPORTE DIANT  M17,36,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,030368 - FECHAM DA TRANSVERSINA,8,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,468540 - FECHAMENYO FRONTAL F4 6 -ICAM,32,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,480009 - ANILHO DA MOLA [CAÇAMBA SIMPLES,0,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,483023-FECHAMENTO LATERAL ICAM (M98) FA,128,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,030376 - FIXADOR CHAPA LATERAL _ TAMPA L,0,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,412661,24,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,032467 - FECHAMENTO [EIXO - CBH6],28,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
106902,448552-plasma,236,,,,3/16,"0,8.42092e+19","4000,00 x 1200,00 mm","4,00",22/03/2025,Laser,1816,,,,PCP
1622 JFY,029533 - CHAPA INFERIOR BANDEJA,6,253.11 * 307.11,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,031913,2,3026.80 * 342.80,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,031914,2,3026.80 * 342.80,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,027880 - CHAPA FRONTAL DA GAIOLA,2,392.11 * 2800.01,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,027881 - CHAPA INFERIOR DA GAIOLA,2,757.00 * 130.06,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,033551 - ORELHA [SINALIZADOR - FT10500 M22],2,70.00 * 266.54,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
1622 JFY,425849 - COMLEM TRANSV TRASEIRA CBHM,84,148.54 * 73.00,,,2 mm ,"0,9135","1200,00 × 3500,00 mm","2,00",22/03/2025,Laser JYF,,opp,,,PCP
106903,"030318 - TRANSVERSINA DIANTEIRA _ CHASSI 1 EIXO _ CBH-CBHM 4,0T",20,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,459690-FECHAMENTO DIANTEIRO IÇAMENTO,0,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,030386 - TRAVA MACACO EXTERNO CBHM  CBH 4T,18,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,031515 - TRANSV. INTERM. FRONTAL,10,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,030750-TRANSV. DIANT. PLASMA,10,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,022263 - COMPLEM. TRANSV. INTERM. CENTRAL - CAÇAMBA GRAN FORR (M12) CBH,6,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,"013213 - FECHAMENTO LATERAL _ TAMPA TRASEIRA 1,10M _ CBHM 5000-6000",0,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,032045  - CANTONEIRA INFERIOR [TAMPA TRASEIRA - CBHM5000],0,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,415005 - PLASMA,27,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,030388 - COMPLEMENTO BASE MÓVEL,25,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
106903,483023-FECHAMENTO LATERAL ICAM (M98) FA CBHM,4,,,,"MS 4,75 mm","0,8678","2820,00 × 1215,00 mm","1,00",22/03/2025,Plasma,18455,,,,PCP
1623 JFY,027445,2,50.80 * 230.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,032204,1,93.95 * 367.47,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,032210,41,35.00 * 65.47,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,027429 - CHAPA INFERIOR GAIOLA,2,1115.00 * 44.59,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,028264 - CHAPA VIRADA INFERIOR LONGITUDINAL,1,1040.00 * 44.59,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,027431 - CHAPA LATERAL GAIOLA,1,44.59 * 615.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,028193 - CANTONEIRA LATERAL MENOR,1,44.59 * 400.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,028497 - CHAPA VIRADA INFERIOR DA GAIOLA,1,596.72 * 310.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,032203 v2,1,120.00 * 139.83,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,444893-PLASMA,40,90.00 * 750.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,459690-FECHAMENTO DIANTEIRO IÇAMENTOA,14,274.00 * 158.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,441480-SUPORTE ENGATE IÇAMENTOB,28,158.00 * 122.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1623 JFY,"032402 - FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0TD",8,235.00 * 96.00,,,"4,76 mm ","0,9006","1200,00 × 4040,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1624 JFY,029472- CHAPA DE REFORÇO DA BASE,4,215.00 * 118.32,,,"6,35 mm ","0,9165","1200,00 × 2280,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1624 JFY,030564 - CHAPA VIRADA APOIO MANCAL P207,12,38.00 * 165.00,,,"6,35 mm ","0,9165","1200,00 × 2280,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1624 JFY,029167 - APOIO TETO,16,578.70 * 20.00,,,"6,35 mm ","0,9165","1200,00 × 2280,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1624 JFY,425187,16,705.00 * 235.00,,,"6,35 mm ","0,9165","1200,00 × 2280,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
1624 JFY,033612 - ARRUELA [ESPAÇADOR - CBH M18],20,38.00 * 38.00,,,"6,35 mm ","0,9165","1200,00 × 2280,00 mm","1,00",22/03/2025,Laser JYF,,opp,,,PCP
20147,459690-FECHAMENTO DIANTEIRO IÇAMENTO,38,"274,00 × 158,00 mm","1,5 kg",0:00:39,"MS 4,75 mm ","85,96%","2680,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20147,033323 - FECHAMENTO COMPLEMENTAR DO IÇAMENTO [IÇAMENTO - CBH12],2,"140,00 × 100,00 mm","0,4 kg",0:00:32,"MS 4,75 mm ","85,96%","2680,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20147,014527 - FECH LAT TAMPA TRAS M09 (10.000) CBHM,8,"100,00 × 1500,00 mm","5,6 kg",0:01:08,"MS 4,75 mm ","85,96%","2680,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
20147,031217 - FECHAM. SUPERIOR COMPL. DIANT. M18,2,"50,00 × 152,00 mm","0,3 kg",0:00:17,"MS 4,75 mm ","85,96%","2680,00 × 1200,00 mm","1,00",22/03/2025,Plasma,,opp,,,PCP
106904,030424-reforço da longarina,5,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,025739PL - COM FURO MAIOR,10,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,"030336 - APOIO DA ARTICULAÇAO _ CHASSI DA CAÇAMBA-PLATAFORMA _ CBH-CBHM 4,0T",21,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,409753 - SUPORTE TRASEIRO [CHASSI - CBHM],26,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,022469 - ESBARRO LIMITADOR DE GIRO CHASSI CBHM 2 EIXOS,41,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,455337 - PLASMA,10,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106904,030387 - BASE MOVEL [MACACO - CBH],35,,,,"MS 8,00 mm","0,8768","6010,00 × 1210,00 mm","1,00",22/03/2025,Plasma,18449,,,,PCP
106905,"030544 - CHAPEAMENTO LATERAL _ CAÇAMBA 1-2 EIXOS TRS-ABL _ CBH 6,0T",6,,,,"2,65 mm","0,9695","1500,00 × 3700,00 mm","6,00",22/03/2025,Laser JYF,557 JFY,,,,PCP
1625 JFY,012919 - REFORÇO EXTERNO [CAÇAMBA SIMPLES - CBH],9,90.00 * 116.00,,,"6,35 mm ","0,8949","1200,00 × 2280,00 mm","3,00",22/03/2025,Laser JYF,,opp,,,PCP
1625 JFY,030348-REFORÇO DA LONGARINA v3,9,1599.68 * 191.00,,,"6,35 mm ","0,8949","1200,00 × 2280,00 mm","3,00",22/03/2025,Laser JYF,,opp,,,PCP
1625 JFY,425187,15,705.00 * 235.00,,,"6,35 mm ","0,8949","1200,00 × 2280,00 mm","3,00",22/03/2025,Laser JYF,,opp,,,PCP
1625 JFY,031226 - CANTONEIRA TAMPA TRASEIRA,15,1520.00 * 117.40,,,"6,35 mm ","0,8949","1200,00 × 2280,00 mm","3,00",22/03/2025,Laser JYF,,opp,,,PCP
